iters_flat,iters_warm,t_flat_ms,t_warm_ms
3,3,19.95109999552369,19.167999969795346
3,3,20.768800051882863,19.008399918675423
3,3,19.036300014704466,18.962300033308566
3,3,20.67430003080517,19.889599992893636
4,3,21.64009993430227,18.04009999614209
3,3,19.175500026904047,18.732500029727817
3,3,18.81050004158169,19.34690005145967
4,3,19.50399996712804,18.78240006044507
3,3,19.586400012485683,19.06520000193268
4,3,19.852599943988025,19.384499988518655
3,3,19.219599897041917,14.473500079475343
4,3,19.55560001078993,19.06550000421703
4,3,20.141700049862266,18.729900009930134
4,3,19.733899971470237,19.04150005429983
3,3,18.636299995705485,18.652400001883507
3,3,18.998000072315335,18.758099991828203
3,3,19.075099960900843,19.056999939493835
4,3,17.010000068694353,18.61520006787032
4,3,12.032900005578995,18.737100064754486
4,3,20.01950005069375,18.807000014930964
3,3,19.03709990438074,13.328199973329902
3,3,18.652300001122057,19.204000011086464
4,3,19.990399945527315,19.41080007236451
3,3,19.69350001309067,19.187199999578297
3,3,20.312999957241118,19.9927999638021
3,3,18.629000056535006,19.23989993520081
4,3,19.695600029081106,16.19110000319779
3,3,21.02119999472052,17.901699990034103
4,3,20.707099931314588,19.24030005466193
3,3,19.020300009287894,17.132399952970445
4,3,19.63399990927428,19.03969992417842
3,3,19.276300095953047,19.162000040523708
3,3,19.258899963460863,18.91709992196411
3,3,18.833799986168742,18.938799970783293
3,3,22.439299966208637,18.796399934217334
3,3,19.558799918740988,18.806700012646616
4,3,22.685599979013205,18.69930000975728
4,3,19.933300092816353,11.492099962197244
3,3,18.987499992363155,20.21079999394715
4,3,20.58249991387129,18.81639997009188
3,3,19.13769997190684,19.349999958649278
3,3,18.888499937020242,18.826500046998262
3,3,19.40910005941987,18.429100047796965
3,3,173.47079992759973,8.6109999101609
3,3,19.13050003349781,18.576900009065866
4,3,20.902000018395483,19.01809999253601
3,3,19.76050005760044,18.550200038589537
4,3,19.535199971869588,19.125399994663894
3,3,19.220000016503036,18.336800043471158
3,3,21.517899935133755,18.972899997606874
3,3,19.411100074648857,19.84299998730421
3,3,21.078100078739226,18.658700049854815
3,3,16.298400005325675,18.815799965523183
3,3,21.587499999441206,18.789600115269423
3,3,19.9185999808833,19.535599974915385
3,3,19.486399949528277,19.512899918481708
3,3,20.263500045984983,19.08609992824495
4,3,20.732600009068847,19.065000000409782
3,3,20.28159995097667,19.07430007122457
3,3,19.304299959912896,18.823400023393333
4,3,19.771399907767773,13.091599917970598
3,3,18.98689998779446,19.230899983085692
4,3,20.90049989055842,19.774099928326905
3,3,19.306299975141883,19.34550004079938
3,3,18.937399960123003,19.39559995662421
4,3,21.051399991847575,8.248599944636226
3,3,19.21469997614622,19.254600047133863
3,3,19.324900000356138,18.4936000732705
3,3,18.80580000579357,18.78420007415116
3,3,21.98680001311004,18.817199976183474
4,3,19.636800047010183,17.201000009663403
4,3,21.153899957425892,19.485299941152334
4,3,22.239099955186248,15.515499981120229
3,3,19.22570005990565,19.225800060667098
3,3,18.81309994496405,19.196800072677433
4,3,22.52040000166744,15.413800021633506
3,3,19.234800012782216,18.555000075139105
3,3,18.86069995816797,19.323999993503094
3,3,17.649500048719347,18.88590003363788
3,3,19.581499975174665,19.106400082819164
4,3,20.05199994891882,18.6532000079751
3,3,15.099000069312751,20.152200013399124
4,3,36.24739998485893,25.352600030601025
4,3,27.225600089877844,30.226500006392598
4,3,30.939199961721897,34.2586999759078
4,3,35.110099939629436,32.49800007324666
4,3,35.13370000291616,18.43389996793121
3,3,48.71880006976426,32.14390005450696
3,3,39.54150003846735,22.65659999102354
3,3,26.04509994853288,27.311400044709444
4,3,42.65100008342415,23.437900003045797
3,3,25.61669994611293,21.51140000205487
3,3,33.0559000140056,28.924899990670383
3,3,45.51460000220686,19.86520003993064
3,3,34.10459996666759,21.892899996601045
4,3,48.30010002478957,32.772399950772524
3,3,42.137199896387756,33.403399982489645
3,3,42.40959999151528,32.24540001247078
4,3,38.25209999922663,25.96050000283867
3,3,36.492599989287555,33.10010000132024
3,3,40.59569991659373,26.782000088132918
4,3,34.93780002463609,26.520999963395298
3,3,26.95919992402196,20.925299962982535
4,3,35.10320000350475,33.82020001299679
3,3,34.480499918572605,25.960400002077222
3,3,30.483099981211126,30.05559998564422
3,3,44.497699942439795,27.95220003463328
3,3,41.14689992275089,20.90230002067983
3,3,44.93530001491308,29.763299971818924
3,3,18.147099995985627,33.49760000128299
3,3,43.30769996158779,31.905999989248812
4,3,30.39530001115054,32.88620000239462
4,3,37.27009997237474,32.31389995198697
3,3,35.93719995114952,31.93469997495413
3,3,31.259700073860586,33.047599950805306
3,3,38.049799972213805,30.71650001220405
4,3,44.847399927675724,29.274599975906312
3,3,284.3375999946147,31.887499964796007
